time,BSSID,Quality,RSSI,ESSID
20-09-09-14-43-35,38:ED:18:D0:EF:60,40/70,-70,Unifi
20-09-09-14-43-35,A0:CF:5B:3D:5F:90,40/70,-70,Unifi
20-09-09-14-43-35,40:CE:24:C4:DB:20,28/70,-82,Unifi
20-09-09-14-43-35,A0:CF:5B:3D:5F:9F,30/70,-80,Unifi
20-09-09-14-43-35,40:CE:24:C4:DB:2F,28/70,-82,Unifi
20-09-09-14-43-35,A0:CF:5B:3D:7F:90,27/70,-83,Unifi
20-09-09-14-43-47,38:ED:18:D0:EF:60,40/70,-70,Unifi
20-09-09-14-43-47,A0:CF:5B:3D:5F:90,42/70,-68,Unifi
20-09-09-14-43-47,40:CE:24:C4:DB:20,35/70,-75,Unifi
20-09-09-14-43-47,A0:CF:5B:3D:5F:9F,30/70,-80,Unifi
20-09-09-14-43-47,40:CE:24:C4:DB:2F,29/70,-81,Unifi
20-09-09-14-43-47,A0:CF:5B:3D:7F:90,34/70,-76,Unifi
20-09-09-14-43-47,38:ED:18:D0:EF:6F,32/70,-78,Unifi
20-09-09-14-44-01,38:ED:18:D0:EF:60,32/70,-78,Unifi
20-09-09-14-44-01,A0:CF:5B:3D:5F:90,49/70,-61,Unifi
20-09-09-14-44-01,40:CE:24:C4:DB:20,35/70,-75,Unifi
20-09-09-14-44-01,A0:CF:5B:3D:5F:9F,31/70,-79,Unifi
20-09-09-14-44-01,40:CE:24:C4:DB:2F,28/70,-82,Unifi
20-09-09-14-44-01,A0:CF:5B:3D:7F:90,32/70,-78,Unifi
20-09-09-14-44-01,38:ED:18:D0:EF:6F,32/70,-78,Unifi
20-09-09-14-44-01,A0:CF:5B:3D:70:30,25/70,-85,Unifi
20-09-09-14-44-14,38:ED:18:D0:EF:60,32/70,-78,Unifi
20-09-09-14-44-14,A0:CF:5B:3D:5F:90,36/70,-74,Unifi
20-09-09-14-44-14,40:CE:24:C4:DB:20,35/70,-75,Unifi
20-09-09-14-44-14,A0:CF:5B:3D:5F:9F,34/70,-76,Unifi
20-09-09-14-44-14,40:CE:24:C4:DB:2F,28/70,-82,Unifi
20-09-09-14-44-14,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-44-14,38:ED:18:D0:EF:6F,32/70,-78,Unifi
20-09-09-14-44-14,A0:CF:5B:3D:70:30,25/70,-85,Unifi
20-09-09-14-44-25,38:ED:18:D0:EF:60,32/70,-78,Unifi
20-09-09-14-44-25,A0:CF:5B:3D:5F:90,34/70,-76,Unifi
20-09-09-14-44-25,40:CE:24:C4:DB:20,32/70,-78,Unifi
20-09-09-14-44-25,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-44-25,40:CE:24:C4:DB:2F,31/70,-79,Unifi
20-09-09-14-44-25,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-44-25,A0:CF:5B:3D:70:30,25/70,-85,Unifi
20-09-09-14-44-25,A0:CF:5B:3E:16:B0,27/70,-83,Unifi
20-09-09-14-44-38,40:CE:24:C4:DB:20,32/70,-78,Unifi
20-09-09-14-44-38,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-44-38,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-44-38,A0:CF:5B:3E:16:B0,38/70,-72,Unifi
20-09-09-14-44-38,A0:CF:5B:3D:5F:90,27/70,-83,Unifi
20-09-09-14-44-38,A0:CF:5B:3F:69:30,37/70,-73,Unifi
20-09-09-14-44-49,40:CE:24:C4:DB:20,32/70,-78,Unifi
20-09-09-14-44-49,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-44-49,A0:CF:5B:3E:16:B0,28/70,-82,Unifi
20-09-09-14-44-49,A0:CF:5B:3D:5F:90,27/70,-83,Unifi
20-09-09-14-44-49,A0:CF:5B:3F:69:30,40/70,-70,Unifi
20-09-09-14-44-49,A0:CF:5B:3F:69:3F,31/70,-79,Unifi
20-09-09-14-45-01,A0:CF:5B:3E:16:B0,32/70,-78,Unifi
20-09-09-14-45-01,A0:CF:5B:3D:5F:90,27/70,-83,Unifi
20-09-09-14-45-01,A0:CF:5B:3F:69:30,37/70,-73,Unifi
20-09-09-14-45-01,A0:CF:5B:3F:69:3F,31/70,-79,Unifi
20-09-09-14-45-01,70:DF:2F:9C:47:4F,26/70,-84,Unifi
20-09-09-14-45-01,A0:CF:5B:3F:87:E0,29/70,-81,Unifi
20-09-09-14-45-12,70:DF:2F:9C:47:4F,29/70,-81,Unifi
20-09-09-14-45-12,A0:CF:5B:3F:87:E0,31/70,-79,Unifi
20-09-09-14-45-12,A0:CF:5B:3F:87:EF,30/70,-80,Unifi
20-09-09-14-45-24,A0:CF:5B:3F:87:E0,37/70,-73,Unifi
20-09-09-14-45-24,A0:CF:5B:3F:87:EF,30/70,-80,Unifi
20-09-09-14-47-28,A0:CF:5B:3D:82:70,36/70,-74,Unifi
20-09-09-14-47-28,10:BD:18:F0:CA:BF,24/70,-86,Unifi
20-09-09-14-47-28,A0:CF:5B:3D:82:7F,26/70,-84,Unifi
20-09-09-14-47-40,A0:CF:5B:3D:82:70,37/70,-73,Unifi
20-09-09-14-47-40,10:BD:18:F0:CA:BF,24/70,-86,Unifi
20-09-09-14-47-40,A0:CF:5B:3D:82:7F,29/70,-81,Unifi
20-09-09-14-47-40,A0:CF:5B:3D:5F:90,36/70,-74,Unifi
20-09-09-14-47-52,A0:CF:5B:3D:82:70,33/70,-77,Unifi
20-09-09-14-47-52,10:BD:18:F0:CA:BF,24/70,-86,Unifi
20-09-09-14-47-52,A0:CF:5B:3D:82:7F,29/70,-81,Unifi
20-09-09-14-47-52,A0:CF:5B:3D:5F:90,36/70,-74,Unifi
20-09-09-14-47-52,A0:CF:5B:0E:33:D0,30/70,-80,Unifi
20-09-09-14-48-05,A0:CF:5B:3D:82:7F,26/70,-84,Unifi
20-09-09-14-48-05,A0:CF:5B:3D:5F:90,33/70,-77,Unifi
20-09-09-14-48-05,A0:CF:5B:0E:33:D0,28/70,-82,Unifi
20-09-09-14-48-05,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-48-05,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-14-48-05,10:BD:18:F0:CA:B0,30/70,-80,Unifi
20-09-09-14-48-20,A0:CF:5B:3D:5F:90,29/70,-81,Unifi
20-09-09-14-48-20,A0:CF:5B:0E:33:D0,28/70,-82,Unifi
20-09-09-14-48-20,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-48-20,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-14-48-20,A0:CF:5B:3D:7F:90,32/70,-78,Unifi
20-09-09-14-48-35,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-14-48-35,A0:CF:5B:3D:7F:90,26/70,-84,Unifi
20-09-09-14-48-35,A0:CF:5B:3E:17:50,26/70,-84,Unifi
20-09-09-14-48-35,10:BD:18:C7:29:E0,26/70,-84,Unifi
20-09-09-14-48-35,38:ED:18:D0:EF:60,30/70,-80,Unifi
20-09-09-14-48-35,10:BD:18:F0:CA:BF,30/70,-80,Unifi
20-09-09-14-48-49,A0:CF:5B:3D:7F:90,26/70,-84,Unifi
20-09-09-14-48-49,A0:CF:5B:3E:17:50,26/70,-84,Unifi
20-09-09-14-48-49,10:BD:18:C7:29:E0,26/70,-84,Unifi
20-09-09-14-48-49,38:ED:18:D0:EF:60,30/70,-80,Unifi
20-09-09-14-48-49,10:BD:18:F0:CA:BF,36/70,-74,Unifi
20-09-09-14-48-49,A0:CF:5B:3F:87:E0,33/70,-77,Unifi
20-09-09-14-49-01,10:BD:18:F0:CA:BF,35/70,-75,Unifi
20-09-09-14-49-01,A0:CF:5B:3F:87:E0,33/70,-77,Unifi
20-09-09-14-49-13,10:BD:18:F0:CA:BF,23/70,-87,Unifi
20-09-09-14-49-26,A0:CF:5B:3F:87:EF,27/70,-83,Unifi
20-09-09-14-50-01,A0:CF:5B:3E:17:50,25/70,-85,Unifi
20-09-09-14-50-13,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-50-13,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-50-13,A0:CF:5B:3F:87:EF,28/70,-82,Unifi
20-09-09-14-50-24,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-50-24,10:BD:18:C7:27:50,27/70,-83,Unifi
20-09-09-14-50-24,A0:CF:5B:3F:87:EF,28/70,-82,Unifi
20-09-09-14-50-24,A0:CF:5B:3F:87:E0,27/70,-83,Unifi
20-09-09-14-50-39,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-50-39,10:BD:18:C7:27:50,30/70,-80,Unifi
20-09-09-14-50-39,A0:CF:5B:3F:87:EF,24/70,-86,Unifi
20-09-09-14-50-39,A0:CF:5B:3F:87:E0,27/70,-83,Unifi
20-09-09-14-50-56,A0:CF:5B:3F:87:E0,30/70,-80,Unifi
20-09-09-14-50-56,A0:CF:5B:3D:83:70,26/70,-84,Unifi
20-09-09-14-50-56,10:BD:18:F0:C8:AF,27/70,-83,Unifi
20-09-09-14-51-07,10:BD:18:F0:C8:AF,28/70,-82,Unifi
20-09-09-14-51-07,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-51-19,10:BD:18:F0:C8:AF,24/70,-86,Unifi
20-09-09-14-51-19,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-51-35,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-51-35,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-51-35,A0:CF:5B:3D:83:70,32/70,-78,Unifi
20-09-09-14-51-49,10:BD:18:F0:C8:AF,35/70,-75,Unifi
20-09-09-14-52-01,10:BD:18:F0:C8:AF,37/70,-73,Unifi
20-09-09-14-52-01,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-52-01,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-52-01,A0:CF:5B:3F:88:EF,29/70,-81,Unifi
20-09-09-14-52-15,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-52-15,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-52-15,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-52-15,A0:CF:5B:3F:88:EF,29/70,-81,Unifi
20-09-09-14-52-15,A0:CF:5B:3D:5F:90,35/70,-75,Unifi
20-09-09-14-52-30,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-52-30,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-52-30,10:BD:18:C7:27:5F,27/70,-83,Unifi
20-09-09-14-52-30,A0:CF:5B:3F:88:EF,29/70,-81,Unifi
20-09-09-14-52-30,A0:CF:5B:3D:5F:90,39/70,-71,Unifi
20-09-09-14-52-30,38:ED:18:D0:EF:60,40/70,-70,Unifi
20-09-09-14-52-43,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-52-43,10:BD:18:F0:CA:BF,33/70,-77,Unifi
20-09-09-14-52-43,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-52-43,A0:CF:5B:3D:5F:90,39/70,-71,Unifi
20-09-09-14-52-43,38:ED:18:D0:EF:60,40/70,-70,Unifi
20-09-09-14-52-43,10:BD:18:F0:CA:B0,27/70,-83,Unifi
20-09-09-14-52-43,38:ED:18:D0:EF:6F,23/70,-87,Unifi
20-09-09-14-52-56,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-52-56,10:BD:18:C7:27:5F,34/70,-76,Unifi
20-09-09-14-52-56,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-52-56,10:BD:18:F0:CA:B0,27/70,-83,Unifi
20-09-09-14-52-56,38:ED:18:D0:EF:6F,23/70,-87,Unifi
20-09-09-14-52-56,A0:CF:5B:3E:16:B0,33/70,-77,Unifi
20-09-09-14-53-08,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-53-08,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-53-08,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-53-08,10:BD:18:F0:CA:B0,27/70,-83,Unifi
20-09-09-14-53-08,38:ED:18:D0:EF:6F,23/70,-87,Unifi
20-09-09-14-53-08,A0:CF:5B:3E:16:B0,33/70,-77,Unifi
20-09-09-14-53-08,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-53-08,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-53-20,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-53-20,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-53-20,A0:CF:5B:3E:16:B0,26/70,-84,Unifi
20-09-09-14-53-20,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-53-20,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-53-20,A0:CF:5B:3F:87:E0,33/70,-77,Unifi
20-09-09-14-53-20,38:ED:18:D0:EF:60,30/70,-80,Unifi
20-09-09-14-53-20,A0:CF:5B:3F:69:30,29/70,-81,Unifi
20-09-09-14-53-20,A0:CF:5B:3E:17:50,25/70,-85,Unifi
20-09-09-14-53-32,10:BD:18:C7:27:5F,28/70,-82,Unifi
20-09-09-14-53-32,A0:CF:5B:3E:16:B0,26/70,-84,Unifi
20-09-09-14-53-32,A0:CF:5B:3D:7F:90,30/70,-80,Unifi
20-09-09-14-53-32,10:BD:18:C7:27:50,34/70,-76,Unifi
20-09-09-14-53-32,38:ED:18:D0:EF:60,30/70,-80,Unifi
20-09-09-14-53-32,A0:CF:5B:3F:69:30,29/70,-81,Unifi
20-09-09-14-53-32,A0:CF:5B:3E:17:50,25/70,-85,Unifi
20-09-09-14-53-32,10:BD:18:F0:C8:AF,31/70,-79,Unifi
20-09-09-14-53-32,A0:CF:5B:3F:69:3F,33/70,-77,Unifi
20-09-09-14-53-53,10:BD:18:F0:C8:AF,29/70,-81,Unifi
20-09-09-14-53-53,10:BD:18:F0:C8:A0,23/70,-87,Unifi
20-09-09-14-53-53,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-53-53,A0:CF:5B:3D:7F:90,28/70,-82,Unifi
20-09-09-14-53-53,10:BD:18:C7:27:50,36/70,-74,Unifi
20-09-09-14-54-07,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-54-07,10:BD:18:F0:C8:A0,23/70,-87,Unifi
20-09-09-14-54-07,10:BD:18:C7:27:50,30/70,-80,Unifi
20-09-09-14-54-07,70:DF:2F:9C:47:4F,29/70,-81,Unifi
20-09-09-14-54-19,10:BD:18:F0:C8:AF,31/70,-79,Unifi
20-09-09-14-54-19,10:BD:18:C7:27:50,31/70,-79,Unifi
20-09-09-14-54-19,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-54-19,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-54-19,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-54-32,10:BD:18:F0:C8:AF,33/70,-77,Unifi
20-09-09-14-54-32,10:BD:18:C7:27:50,31/70,-79,Unifi
20-09-09-14-54-32,70:DF:2F:9C:47:4F,25/70,-85,Unifi
20-09-09-14-54-32,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-54-32,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-54-32,A0:CF:5B:3D:83:70,29/70,-81,Unifi
20-09-09-14-54-48,10:BD:18:F0:C8:AF,27/70,-83,Unifi
20-09-09-14-54-48,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:83:70,29/70,-81,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:5F:90,34/70,-76,Unifi
20-09-09-14-54-48,10:BD:18:F0:CA:BF,30/70,-80,Unifi
20-09-09-14-54-48,A0:CF:5B:3D:7F:DF,36/70,-74,Unifi
20-09-09-14-55-00,10:BD:18:F0:C8:AF,27/70,-83,Unifi
20-09-09-14-55-00,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-55-00,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-00,10:BD:18:F0:CA:BF,31/70,-79,Unifi
20-09-09-14-55-00,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-55-00,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-12,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-12,A0:CF:5B:3E:17:50,29/70,-81,Unifi
20-09-09-14-55-12,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-12,10:BD:18:F0:CA:BF,33/70,-77,Unifi
20-09-09-14-55-12,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-12,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-12,A0:CF:5B:3F:69:30,36/70,-74,Unifi
20-09-09-14-55-12,10:BD:18:F0:CA:B0,43/70,-67,Unifi
20-09-09-14-55-12,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-12,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:5F:90,28/70,-82,Unifi
20-09-09-14-55-24,10:BD:18:F0:CA:BF,33/70,-77,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:C7:27:5F,29/70,-81,Unifi
20-09-09-14-55-24,A0:CF:5B:3F:69:30,34/70,-76,Unifi
20-09-09-14-55-24,10:BD:18:F0:CA:B0,30/70,-80,Unifi
20-09-09-14-55-24,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-24,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-24,10:BD:18:C7:29:E0,32/70,-78,Unifi
20-09-09-14-55-24,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-55-24,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
20-09-09-14-55-24,A0:CF:5B:3F:87:EF,29/70,-81,Unifi
20-09-09-14-55-39,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-55-39,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-55-39,A0:CF:5B:3D:7F:DF,23/70,-87,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:69:30,35/70,-75,Unifi
20-09-09-14-55-39,10:BD:18:C7:29:EF,31/70,-79,Unifi
20-09-09-14-55-39,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-09-14-55-39,10:BD:18:C7:29:E0,32/70,-78,Unifi
20-09-09-14-55-39,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-55-39,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:87:EF,29/70,-81,Unifi
20-09-09-14-55-39,A0:CF:5B:3E:16:BF,25/70,-85,Unifi
20-09-09-14-55-39,A0:CF:5B:3F:69:3F,25/70,-85,Unifi
20-09-09-14-55-39,10:BD:18:C7:27:5F,32/70,-78,Unifi
20-09-09-14-55-53,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-55-53,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-55-53,A0:CF:5B:3F:69:30,35/70,-75,Unifi
20-09-09-14-55-53,70:DF:2F:9C:47:4F,35/70,-75,Unifi
20-09-09-14-55-53,10:BD:18:C7:29:E0,24/70,-86,Unifi
20-09-09-14-55-53,A0:CF:5B:3D:7F:D0,26/70,-84,Unifi
