time,BSSID,Quality,RSSI,ESSID
20-09-09-14-55-53,A0:CF:5B:3F:69:3F,25/70,-85,Unifi
20-09-09-14-55-53,A0:CF:5B:3E:17:50,24/70,-86,Unifi
20-09-09-14-55-53,10:BD:18:C7:27:50,33/70,-77,Unifi
20-09-09-14-55-53,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-14-55-53,10:BD:18:F0:CA:B0,31/70,-79,Unifi
20-09-09-14-56-05,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-56-05,A0:CF:5B:3D:7F:DF,24/70,-86,Unifi
20-09-09-14-56-05,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-05,10:BD:18:C7:29:E0,24/70,-86,Unifi
20-09-09-14-56-05,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-05,A0:CF:5B:3E:17:50,39/70,-71,Unifi
20-09-09-14-56-05,10:BD:18:C7:27:50,43/70,-67,Unifi
20-09-09-14-56-05,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-14-56-05,10:BD:18:F0:CA:B0,31/70,-79,Unifi
20-09-09-14-56-05,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-05,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-17,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-17,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-17,A0:CF:5B:3E:17:50,33/70,-77,Unifi
20-09-09-14-56-17,10:BD:18:C7:27:50,34/70,-76,Unifi
20-09-09-14-56-17,10:BD:18:F0:CA:B0,31/70,-79,Unifi
20-09-09-14-56-17,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-17,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-17,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-17,1C:E6:C7:3F:91:4F,30/70,-80,Unifi
20-09-09-14-56-29,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-29,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-29,A0:CF:5B:3E:17:50,35/70,-75,Unifi
20-09-09-14-56-29,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-56-29,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-29,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-29,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-29,1C:E6:C7:3F:91:4F,32/70,-78,Unifi
20-09-09-14-56-29,10:BD:18:C7:29:EF,25/70,-85,Unifi
20-09-09-14-56-29,A0:CF:5B:3D:83:7F,22/70,-88,Unifi
20-09-09-14-56-44,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-56-44,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-44,1C:E6:C7:3F:91:4F,32/70,-78,Unifi
20-09-09-14-56-44,10:BD:18:C7:29:EF,25/70,-85,Unifi
20-09-09-14-56-44,A0:CF:5B:3D:83:7F,25/70,-85,Unifi
20-09-09-14-56-44,10:BD:18:F0:C8:AF,34/70,-76,Unifi
20-09-09-14-56-57,A0:CF:5B:3D:83:7F,31/70,-79,Unifi
20-09-09-14-56-57,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-56-57,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-56-57,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-56-57,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-56-57,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-56-57,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:83:7F,22/70,-88,Unifi
20-09-09-14-57-09,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-57-09,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-57-09,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-57-09,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-09,A0:CF:5B:3E:17:50,30/70,-80,Unifi
20-09-09-14-57-09,10:BD:18:C7:29:E0,27/70,-83,Unifi
20-09-09-14-57-09,10:BD:18:C7:29:EF,34/70,-76,Unifi
20-09-09-14-57-09,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-57-21,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-57-21,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-57-21,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-57-21,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-21,A0:CF:5B:3E:17:50,30/70,-80,Unifi
20-09-09-14-57-21,10:BD:18:C7:29:E0,27/70,-83,Unifi
20-09-09-14-57-21,10:BD:18:C7:29:EF,34/70,-76,Unifi
20-09-09-14-57-21,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-21,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-57-21,10:BD:18:C7:27:5F,30/70,-80,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:5F:90,38/70,-72,Unifi
20-09-09-14-57-32,10:BD:18:F0:CA:BF,35/70,-75,Unifi
20-09-09-14-57-32,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-57-32,10:BD:18:C7:29:EF,33/70,-77,Unifi
20-09-09-14-57-32,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-32,38:ED:18:D0:EF:60,28/70,-82,Unifi
20-09-09-14-57-32,10:BD:18:C7:27:5F,34/70,-76,Unifi
20-09-09-14-57-32,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-57-32,10:BD:18:C7:27:50,39/70,-71,Unifi
20-09-09-14-57-54,A0:CF:5B:3D:5F:90,37/70,-73,Unifi
20-09-09-14-57-54,10:BD:18:F0:CA:BF,22/70,-88,Unifi
20-09-09-14-57-54,A0:CF:5B:3E:17:50,31/70,-79,Unifi
20-09-09-14-57-54,10:BD:18:C7:29:EF,32/70,-78,Unifi
20-09-09-14-57-54,38:ED:18:D0:EF:60,33/70,-77,Unifi
20-09-09-14-57-54,10:BD:18:C7:27:5F,30/70,-80,Unifi
20-09-09-14-57-54,A0:CF:5B:3D:7F:90,33/70,-77,Unifi
20-09-09-14-57-54,10:BD:18:C7:27:50,27/70,-83,Unifi
20-09-09-14-57-54,A0:CF:5B:3F:69:30,38/70,-72,Unifi
20-09-09-14-57-54,10:BD:18:F0:CA:B0,34/70,-76,Unifi
20-09-09-14-57-54,40:CE:24:C4:DB:20,32/70,-78,Unifi
20-09-09-14-58-05,A0:CF:5B:3D:5F:90,36/70,-74,Unifi
20-09-09-14-58-05,10:BD:18:F0:CA:BF,22/70,-88,Unifi
20-09-09-14-58-05,10:BD:18:C7:29:EF,32/70,-78,Unifi
20-09-09-14-58-05,38:ED:18:D0:EF:60,33/70,-77,Unifi
20-09-09-14-58-05,10:BD:18:C7:27:5F,26/70,-84,Unifi
20-09-09-14-58-05,10:BD:18:C7:27:50,27/70,-83,Unifi
20-09-09-14-58-05,A0:CF:5B:3F:69:30,38/70,-72,Unifi
20-09-09-14-58-05,10:BD:18:F0:CA:B0,28/70,-82,Unifi
20-09-09-14-58-05,40:CE:24:C4:DB:20,32/70,-78,Unifi
20-09-09-14-58-05,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-58-05,38:ED:18:D0:EF:6F,30/70,-80,Unifi
20-09-09-14-58-05,A0:CF:5B:3D:70:30,33/70,-77,Unifi
20-09-09-14-58-05,A0:CF:5B:3D:7F:90,31/70,-79,Unifi
20-09-09-14-58-05,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-58-20,10:BD:18:F0:CA:BF,36/70,-74,Unifi
20-09-09-14-58-20,10:BD:18:C7:27:5F,26/70,-84,Unifi
20-09-09-14-58-20,10:BD:18:F0:CA:B0,37/70,-73,Unifi
20-09-09-14-58-20,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-58-20,38:ED:18:D0:EF:6F,30/70,-80,Unifi
20-09-09-14-58-20,A0:CF:5B:3D:70:30,33/70,-77,Unifi
20-09-09-14-58-20,A0:CF:5B:3D:7F:90,31/70,-79,Unifi
20-09-09-14-58-20,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-58-20,10:BD:18:C7:29:EF,30/70,-80,Unifi
20-09-09-14-58-20,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-58-31,10:BD:18:F0:CA:BF,29/70,-81,Unifi
20-09-09-14-58-31,10:BD:18:C7:27:5F,36/70,-74,Unifi
20-09-09-14-58-31,10:BD:18:F0:CA:B0,37/70,-73,Unifi
20-09-09-14-58-31,38:ED:18:D0:EF:6F,30/70,-80,Unifi
20-09-09-14-58-31,A0:CF:5B:3D:7F:90,31/70,-79,Unifi
20-09-09-14-58-31,A0:CF:5B:3D:5F:9F,27/70,-83,Unifi
20-09-09-14-58-31,10:BD:18:C7:29:EF,35/70,-75,Unifi
20-09-09-14-58-31,10:BD:18:F0:C8:A0,31/70,-79,Unifi
20-09-09-14-58-31,10:BD:18:C7:29:E0,36/70,-74,Unifi
20-09-09-14-58-31,A0:CF:5B:3E:17:50,26/70,-84,Unifi
20-09-09-14-58-31,10:BD:18:C7:27:50,37/70,-73,Unifi
20-09-09-14-58-31,A0:CF:5B:3D:7F:DF,28/70,-82,Unifi
20-09-09-14-58-47,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-14-58-47,10:BD:18:C7:27:5F,31/70,-79,Unifi
20-09-09-14-58-47,10:BD:18:C7:29:EF,35/70,-75,Unifi
20-09-09-14-58-47,10:BD:18:C7:29:E0,31/70,-79,Unifi
20-09-09-14-58-47,A0:CF:5B:3E:17:50,36/70,-74,Unifi
20-09-09-14-58-47,10:BD:18:C7:27:50,35/70,-75,Unifi
20-09-09-14-58-47,A0:CF:5B:3D:7F:DF,28/70,-82,Unifi
20-09-09-14-58-47,A0:CF:5B:3E:17:5F,36/70,-74,Unifi
20-09-09-14-59-03,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-14-59-03,10:BD:18:C7:27:5F,31/70,-79,Unifi
20-09-09-14-59-03,10:BD:18:C7:29:E0,31/70,-79,Unifi
20-09-09-14-59-03,A0:CF:5B:3E:17:50,37/70,-73,Unifi
20-09-09-14-59-03,10:BD:18:C7:27:50,35/70,-75,Unifi
20-09-09-14-59-03,A0:CF:5B:3E:17:5F,26/70,-84,Unifi
20-09-09-14-59-03,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-59-15,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-59-15,A0:CF:5B:3D:83:70,28/70,-82,Unifi
20-09-09-14-59-15,5C:50:15:E7:EA:30,25/70,-85,Unifi
20-09-09-14-59-15,A0:CF:5B:3D:7F:DF,29/70,-81,Unifi
20-09-09-14-59-27,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-59-27,A0:CF:5B:3D:83:70,28/70,-82,Unifi
20-09-09-14-59-27,A0:CF:5B:3D:7F:DF,25/70,-85,Unifi
20-09-09-14-59-27,A0:CF:5B:3D:83:7F,24/70,-86,Unifi
20-09-09-14-59-42,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-59-42,A0:CF:5B:3D:83:70,30/70,-80,Unifi
20-09-09-14-59-42,A0:CF:5B:3D:7F:DF,25/70,-85,Unifi
20-09-09-14-59-42,A0:CF:5B:3D:83:7F,24/70,-86,Unifi
20-09-09-14-59-42,10:BD:18:F0:C8:A0,30/70,-80,Unifi
20-09-09-14-59-42,10:BD:18:F0:CA:BF,26/70,-84,Unifi
20-09-09-14-59-56,A0:CF:5B:3D:83:7F,24/70,-86,Unifi
20-09-09-14-59-56,10:BD:18:F0:C8:A0,30/70,-80,Unifi
20-09-09-14-59-56,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-14-59-56,A0:CF:5B:3F:88:EF,25/70,-85,Unifi
20-09-09-15-00-09,10:BD:18:F0:C8:A0,30/70,-80,Unifi
20-09-09-15-00-09,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-15-00-09,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-15-00-09,A0:CF:5B:3D:82:70,32/70,-78,Unifi
20-09-09-15-00-20,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-15-00-20,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-15-00-20,A0:CF:5B:3D:82:70,29/70,-81,Unifi
20-09-09-15-00-32,A0:CF:5B:3F:88:EF,24/70,-86,Unifi
20-09-09-15-00-32,A0:CF:5B:3D:82:70,38/70,-72,Unifi
20-09-09-15-00-32,A0:CF:5B:3F:8A:C0,35/70,-75,Unifi
20-09-09-15-00-32,A0:CF:5B:3D:82:7F,46/70,-64,Unifi
20-09-09-15-00-44,A0:CF:5B:3D:82:70,44/70,-66,Unifi
20-09-09-15-00-44,A0:CF:5B:3F:8A:C0,40/70,-70,Unifi
20-09-09-15-00-44,A0:CF:5B:3D:82:7F,52/70,-58,Unifi
20-09-09-15-00-44,A0:CF:5B:3F:8A:CF,44/70,-66,Unifi
20-09-09-15-00-44,A0:CF:5B:3D:66:FF,30/70,-80,Unifi
20-09-09-15-00-55,A0:CF:5B:3D:82:70,34/70,-76,Unifi
20-09-09-15-00-55,A0:CF:5B:3F:8A:C0,29/70,-81,Unifi
20-09-09-15-00-55,A0:CF:5B:3D:82:7F,26/70,-84,Unifi
20-09-09-15-00-55,64:AE:0C:C4:EC:00,36/70,-74,Unifi
20-09-09-15-00-55,64:AE:0C:C4:EC:0F,34/70,-76,Unifi
20-09-09-15-01-07,A0:CF:5B:3D:82:70,39/70,-71,Unifi
20-09-09-15-01-07,A0:CF:5B:3F:8A:C0,29/70,-81,Unifi
20-09-09-15-01-07,A0:CF:5B:3D:82:7F,26/70,-84,Unifi
20-09-09-15-01-07,64:AE:0C:C4:EC:00,34/70,-76,Unifi
20-09-09-15-01-07,64:AE:0C:C4:EC:0F,37/70,-73,Unifi
20-09-09-15-01-21,A0:CF:5B:3D:82:70,47/70,-63,Unifi
20-09-09-15-01-21,A0:CF:5B:3F:8A:C0,29/70,-81,Unifi
20-09-09-15-01-21,A0:CF:5B:3D:82:7F,29/70,-81,Unifi
20-09-09-15-01-21,64:AE:0C:C4:EC:00,34/70,-76,Unifi
20-09-09-15-01-21,64:AE:0C:C4:EC:0F,37/70,-73,Unifi
20-09-09-15-01-34,A0:CF:5B:3D:82:70,33/70,-77,Unifi
20-09-09-15-01-34,A0:CF:5B:3F:8A:C0,30/70,-80,Unifi
20-09-09-15-01-34,A0:CF:5B:3D:82:7F,26/70,-84,Unifi
20-09-09-15-01-34,64:AE:0C:C4:EC:00,34/70,-76,Unifi
20-09-09-15-01-34,A0:CF:5B:0E:33:D0,32/70,-78,Unifi
20-09-09-15-01-47,A0:CF:5B:3D:82:70,33/70,-77,Unifi
20-09-09-15-01-47,A0:CF:5B:3F:8A:C0,30/70,-80,Unifi
20-09-09-15-01-47,A0:CF:5B:0E:33:D0,34/70,-76,Unifi
20-09-09-15-01-47,10:BD:18:C7:27:50,33/70,-77,Unifi
20-09-09-15-01-47,38:ED:18:D0:EF:60,29/70,-81,Unifi
20-09-09-15-01-47,70:DF:2F:9C:47:4F,32/70,-78,Unifi
20-09-09-15-01-47,A0:CF:5B:3F:88:EF,26/70,-84,Unifi
20-09-09-15-01-59,A0:CF:5B:3D:82:70,33/70,-77,Unifi
20-09-09-15-01-59,A0:CF:5B:0E:33:D0,34/70,-76,Unifi
20-09-09-15-01-59,10:BD:18:C7:27:50,33/70,-77,Unifi
20-09-09-15-01-59,38:ED:18:D0:EF:60,29/70,-81,Unifi
20-09-09-15-01-59,70:DF:2F:9C:47:4F,47/70,-63,Unifi
20-09-09-15-01-59,A0:CF:5B:3F:88:EF,39/70,-71,Unifi
20-09-09-15-02-11,A0:CF:5B:0E:33:D0,34/70,-76,Unifi
20-09-09-15-02-11,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-15-02-11,38:ED:18:D0:EF:60,29/70,-81,Unifi
20-09-09-15-02-11,70:DF:2F:9C:47:4F,31/70,-79,Unifi
20-09-09-15-02-11,A0:CF:5B:3F:88:EF,39/70,-71,Unifi
20-09-09-15-02-11,10:BD:18:F0:C8:A0,35/70,-75,Unifi
20-09-09-15-02-11,10:BD:18:F0:CA:BF,30/70,-80,Unifi
20-09-09-15-02-25,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-15-02-25,70:DF:2F:9C:47:4F,31/70,-79,Unifi
20-09-09-15-02-25,10:BD:18:F0:C8:A0,37/70,-73,Unifi
20-09-09-15-02-25,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-15-02-25,10:BD:18:F0:C8:AF,42/70,-68,Unifi
20-09-09-15-02-25,A0:CF:5B:3D:83:70,40/70,-70,Unifi
20-09-09-15-02-25,A0:CF:5B:3D:83:7F,38/70,-72,Unifi
20-09-09-15-02-37,10:BD:18:C7:27:50,25/70,-85,Unifi
20-09-09-15-02-37,70:DF:2F:9C:47:4F,31/70,-79,Unifi
20-09-09-15-02-37,10:BD:18:F0:C8:A0,33/70,-77,Unifi
20-09-09-15-02-37,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-15-02-37,10:BD:18:F0:C8:AF,42/70,-68,Unifi
20-09-09-15-02-37,A0:CF:5B:3D:83:70,31/70,-79,Unifi
20-09-09-15-02-37,A0:CF:5B:3D:83:7F,25/70,-85,Unifi
20-09-09-15-02-37,A0:CF:5B:3D:7F:D0,34/70,-76,Unifi
20-09-09-15-02-48,10:BD:18:F0:C8:A0,33/70,-77,Unifi
20-09-09-15-02-48,10:BD:18:F0:CA:BF,25/70,-85,Unifi
20-09-09-15-02-48,10:BD:18:F0:C8:AF,42/70,-68,Unifi
20-09-09-15-02-48,A0:CF:5B:3D:83:70,30/70,-80,Unifi
20-09-09-15-02-48,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-15-02-48,A0:CF:5B:3D:7F:D0,51/70,-59,Unifi
20-09-09-15-02-48,A0:CF:5B:3D:7F:DF,38/70,-72,Unifi
20-09-09-15-03-02,10:BD:18:F0:C8:A0,33/70,-77,Unifi
20-09-09-15-03-02,A0:CF:5B:3D:83:70,30/70,-80,Unifi
20-09-09-15-03-02,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-15-03-02,A0:CF:5B:3D:7F:D0,36/70,-74,Unifi
20-09-09-15-03-02,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-15-03-14,A0:CF:5B:3D:83:70,30/70,-80,Unifi
20-09-09-15-03-14,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-15-03-14,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-15-03-14,A0:CF:5B:3D:7F:DF,39/70,-71,Unifi
